ID,Type,Lat,Lng,Time,Place
ID_iqe1ekbyc,Trash,41.1314936,24.8618063,"2/19/2026, 2:09:44 PM",XRYSA
ID_davmib2wx,Trash,41.1314936,24.8618063,"2/19/2026, 2:09:44 PM",XRYSA
ID_07y5myfj6,Trash,41.1309274,24.8609628,"2/19/2026, 2:10:04 PM",XRYSA
ID_kumq12etj,Trash,41.1309274,24.8609628,"2/19/2026, 2:10:05 PM",XRYSA
ID_0rzfe3i6d,Recycle,41.1309274,24.8609628,"2/19/2026, 2:10:05 PM",XRYSA
ID_pe8g45usw,Trash,41.1301757,24.8599604,"2/19/2026, 2:10:37 PM",XRYSA
ID_e5r0t0zlx,Trash,41.1301757,24.8599604,"2/19/2026, 2:10:38 PM",XRYSA
ID_7gfsvyrfz,Recycle,41.1301757,24.8599604,"2/19/2026, 2:10:39 PM",XRYSA
ID_2wehreidm,Recycle,41.1301757,24.8599604,"2/19/2026, 2:10:39 PM",XRYSA
ID_33ie6pntw,Trash,41.1306489,24.8590186,"2/19/2026, 2:11:44 PM",XRYSA
ID_80tacfisk,Trash,41.1306489,24.8590186,"2/19/2026, 2:11:44 PM",XRYSA
ID_0w67sqt25,Recycle,41.1306618,24.8630939,"2/19/2026, 2:14:18 PM",XRYSA
ID_prqkqf6ex,Trash,41.13062,24.8630052,"2/19/2026, 2:14:20 PM",XRYSA
ID_ygwkxbnz7,Trash,41.13062,24.8630052,"2/19/2026, 2:14:21 PM",XRYSA
ID_swbfx9wyl,Recycle,41.1294625,24.8627515,"2/19/2026, 2:15:48 PM",XRYSA
ID_z03n5fs5b,Trash,41.1294625,24.8627515,"2/19/2026, 2:15:48 PM",XRYSA
ID_vaic4fyrn,Trash,41.1288268,24.8627975,"2/19/2026, 2:15:59 PM",XRYSA
ID_vxo5pnnu1,Recycle,41.1287356,24.8627963,"2/19/2026, 2:16:03 PM",XRYSA
ID_pul6l34ih,Trash,41.1300859,24.8613357,"2/19/2026, 2:17:53 PM",XRYSA
ID_s8q0ywe8l,Trash,41.1300859,24.8613357,"2/19/2026, 2:17:54 PM",XRYSA
ID_tmywd93or,Trash,41.1287297,24.8614234,"2/19/2026, 2:18:30 PM",XRYSA
ID_iplzevua3,Trash,41.1287297,24.8614234,"2/19/2026, 2:18:31 PM",XRYSA
ID_597zi38at,Recycle,41.1296754,24.859796,"2/19/2026, 2:19:21 PM",XRYSA
